transliteration,sorting,period,morphology,number,person,class,affix,semantics,root ≠ base,base,pagenumber,adjectival use,classifier_front,classifier_end,logogram,morpheme_1,morpheme_2,morpheme_3,sense_hk,certainty-weight_hk,sense_MEGA,certainty-weight_MEGA,proper_name_context,contributor,validator,lang_context,loan_lang,unicode,Wordnet,Notes,POS,variant,cognate,case,conjugation,mode,voice,frequency,rich
v.LUGÀL.ip-in-na,lugalipinna,achE,king-PL-GEN,,,,,,,sunki,838,,DIŠ,,,-p;3pl.an,-na;postp.gen,,der Könige,1,king,1,,f,,,,,,,noun,,,,,,,,"<qt><font color=""#690000"">v</font>.<font color=""#690000"">LUGÀL</font>.<font color=""#690000"">ip</font>-in-na</qt>"
v.LUGÀL.ip-na,lugalipna,achE,king-PL-GEN,Pl.,3rd Anim.,,-na,,,sunki,838,,DIŠ,,,-p;3pl.an,-na;postp.gen,,der Könige,1,king,1,,f,,,,,,,noun,v.LUGÀL.ip-in-na,,,,,,1,"<qt><font color=""#690000"">v</font>.<font color=""#690000"">LUGÀL</font>.<font color=""#690000"">ip</font>-na</qt>"
hh.LUGÀL.na-ma,lugalnama,achE,king-na-ma,,,,"-na, -ma",,,sunki,839,,HAL,,,-na;postp.gen,-ma;postp.loc,,im ... des Königs,1,king,1,,f,,,,,,,noun,,,,,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#690000"">LUGÀL</font>.na-<font color=""#b40000"">ma</font></qt>"
v.LUGÀL.na,lugalna,achE,king-na,,,,,,,sunki,839,,DIŠ,,,-na;postp.gen,,,des Königs,1,king,1,,f,,,,,,,noun,,,,,,,,"<qt><font color=""#690000"">v</font>.<font color=""#690000"">LUGÀL</font>.na</qt>"
hh.LUGÀL.na-ma-mar,lugalnamamar,achE,king-na-ma-mar,,,,"-na, -ma-mar",,,sunki,839,,HAL,,,-na;postp.gen,-ma;postp.loc,-mar;postp.abl,vom (im) ... des Königs her,1,king,1,,f,,,,,,,noun,,,,,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#690000"">LUGÀL</font>.na-<font color=""#b40000"">ma</font>-<font color=""#9b0000"">mar</font></qt>"
lu-hal-pi-na,luhalpina,nE,,,,,,,,luhalpi,840,x,,,,-na;postp.gen,,,aus Electron,0.5,Electron,0.5,,f,,,,,,,adjective,,,,,,,,"<qt><font color=""#690000"">lu</font>-<font color=""#9b0000"">hal</font>-<font color=""#de0000"">pi</font>-na</qt>"
lu-h-ha-an,luhhaan,oE; mE; nE,bless?-ACT.PTCP?,,,,,,,luha-,840,,,,,-n-;iii,,,segnend,0.5,,,,f,,,,,,,verb,lu-ur-ra-ak.lu-h-ha-an,,,,,,1,"<qt><font color=""#690000"">lu</font>-<font color=""#d50000"">h</font>-<font color=""#690000"">ha</font>-<font color=""#c30000"">an</font></qt>"
f.hw.lu-lu-be-na,lulubena,nE,Lulube-GEN,,,,,,,Lulube,842,,"MUNUS, BE",,,-na;postp.gen,,,"von Lulu-Frauen, von Lulu'erinnen",1,Lulu,1,anthroponym,f,,,,,,,PN,lu-lu,,,,,,,"<qt><font color=""#e10000"">f</font>.<font color=""#de0000"">hw</font>.<font color=""#690000"">lu</font>-<font color=""#690000"">lu</font>-<font color=""#de0000"">be</font>-na</qt>"
f.hw.lu-lu-be-nam-ma,lulubenamma,nE,Lulube-GEN-LOC,,,,,,,Lulube,842,,"MUNUS, BE",,,-na;postp.gen,-ma;postp.loc,,"für Lulu-Frauen, für Lulu'erinnen",1,Lulu,1,anthroponym,f,,,,,,,PN,lu-lu,,,,,,,"<qt><font color=""#e10000"">f</font>.<font color=""#de0000"">hw</font>.<font color=""#690000"">lu</font>-<font color=""#690000"">lu</font>-<font color=""#de0000"">be</font>-<font color=""#00ff00"">nam</font>-<font color=""#b40000"">ma</font></qt>"
lu-lu-ki,luluki,achE,,,,,,,,lulu-,842,x,,,,-k-;ii,,,sauer,1,to be sour,0.5,,f,,,,,,,verb,lu-lu-qa,,,,,,,"<qt><font color=""#690000"">lu</font>-<font color=""#690000"">lu</font>-<font color=""#690000"">ki</font></qt>"
f.hw.lu-lu-na,luluna,nE,Lulu-GEN,,,,,,,Lulu,842,,"MUNUS, BE",,,-na;postp.gen,,,"von einer Lulu-Frau, von einer Lulu'erin.",1,Lulu,1,anthroponym,f,,,,,,,PN,lu-lu,,,,,,,"<qt><font color=""#e10000"">f</font>.<font color=""#de0000"">hw</font>.<font color=""#690000"">lu</font>-<font color=""#690000"">lu</font>-na</qt>"
lu-lu-qa,luluqa,achE,,,,,,,,lulu-,842,x,,,,-k-;ii,,,sauer,1,to be sour,0.5,,f,,,,,,,verb,lu-lu-ki,,,,,,,"<qt><font color=""#690000"">lu</font>-<font color=""#690000"">lu</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>"
lu-ri-qa,luriqa,achE,lur,,,,,,,lurika,843,x,,,,,,,"einzeln, jeweils",1,each,1,,f,,,,,,,adjective,lu-ru-qa,,,,,,1,"<qt><font color=""#690000"">lu</font>-<font color=""#9b0000"">ri</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>"
lu-ri-ik-qa,luriikqa,achE,lur-PASS.PTCP,,,,,,,lurika,843,x,,,,,,,"einzeln, jeweils",1,each,1,,f,,,,,,,adjective,lu-ri-qa,,,,,,,"<qt><font color=""#690000"">lu</font>-<font color=""#9b0000"">ri</font>-<font color=""#c30000"">ik</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>"
lu-rák?-qa,lurakqa,achE,lur-PASS.PTCP+,,,,,,,lurika,843,x,,,,,,,"einzeln, jeweils",1,each,1,,f,,,,,,,adjective,lu-ri-qa,,,,,,,"<qt><font color=""#690000"">lu</font>-<font color=""#690000"">rák</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>"
lu-ru,luru,nE,lur-?,,,,,,,luru,844,,,,,,,,aufteilend,0.5,,,,f,,,,,,,noun,,,,,,,,"<qt><font color=""#690000"">lu</font>-<font color=""#b40000"">ru</font></qt>"
ma-a-kur-ti-ya,maakurtiya,achE,xvaigrδya,,,,,,,waigrdya,850,x,,,,,,,eigenhäusig,1,independent,0.5,,f,,,OP,,,,adjective,,xvaigrδya,,,,,,"<qt><font color=""#b40000"">ma</font>-<font color=""#690000"">a</font>-<font color=""#cd0000"">kur</font>-<font color=""#690000"">ti</font>-<font color=""#9b0000"">ya</font></qt>"
ma-a-kur-ti-ya-nu-iš,maakurtiyanuis~,achE,xvaigrδyāna-š,,,,,,,waigrdyana,850,x,,,,-š;op.loan,,,eigenhäusig,1,independent,0.5,,f,,,OP,,,,adjective,ma-a-kur-ti-ya,xvaigrδyāna,,,,,,"<qt><font color=""#b40000"">ma</font>-<font color=""#690000"">a</font>-<font color=""#cd0000"">kur</font>-<font color=""#690000"">ti</font>-<font color=""#9b0000"">ya</font>-nu-iš</qt>"
ma-al-ši-in-ni,maals~iinni,mE,alabaster-na,,,,,,,walši,850,x,,,,-ni;postp.gen,,,"alabastern, aus Alabaster",1,alabaster,1,,f,,,,,,,noun,wa-al-ša,,,,,,,"<qt><font color=""#b40000"">ma</font>-al-<font color=""#c30000"">ši</font>-in-<font color=""#c30000"">ni</font></qt>"
ma-al-ši-ya,maals~iya,nE,alabaster-ya,,,,,,,walši,850,x,,,,-ya;adj,,,"alabastern, aus Alabaster",1,alabaster,1,,f,,,,,,,noun,ma-al-ši-in-ni,,,,,,,"<qt><font color=""#b40000"">ma</font>-al-<font color=""#c30000"">ši</font>-<font color=""#9b0000"">ya</font></qt>"
ma-da-ak,madaak,achE,mādaka,,,,,,,madaka,857,x,,,,,,,medisch,1,Median,1,demonym,f,,,,,,,adjective,"ma-da-ak-qa, ma-da-qa",mādaka,,,,,,"<qt><font color=""#b40000"">ma</font>-<font color=""#9b0000"">da</font>-<font color=""#690000"">ak</font></qt>"
ma-da-ak-qa,madaakqa,achE,mādaka,,,,,,,madaka,857,x,,,,,,,medisch,1,Median,1,demonym,f,,,,,,,adjective,,mādaka,,,,,,"<qt><font color=""#b40000"">ma</font>-<font color=""#9b0000"">da</font>-<font color=""#690000"">ak</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>"
ma-da-qa,madaqa,achE,mādaka,,,,,,,madaka,858,x,,,,,,,medisch,1,Median,1,demonym,f,,,,,,,adjective,"ma-da-ak, ma-da-ak-qa",mādaka,,,,,,"<qt><font color=""#b40000"">ma</font>-<font color=""#9b0000"">da</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>"
ma-hu-iš,mahuis~,achE,vahuš,,,,,,,vahu,860,x,,,,-š;op.loan,,,gut,1,good (wine),1,,f,,,OP,,,,adjective,,vahuš,,,,,,"<qt><font color=""#b40000"">ma</font>-<font color=""#d50000"">hu</font>-iš</qt>"
ma-lak,malak,nE,mal-k,,,,-k,,,mala-,863,x,,,,-k-;ii,,,ausgearbeitet,0.5,to elaborate,0.5,,f,,,,,,,verb,"v.ma-ul-la, hh.ma-ul-li",,,,,,,"<qt><font color=""#b40000"">ma</font>-<font color=""#b40000"">lak</font></qt>"
GIŠ.ma-lu.za-el-na,maluzaelna,nE,,,,,-na,,,malu.zal,864,,GIŠ,,,-na;postp.gen,,,für ein Holzbildwerk.,1,wooden sculpture ,1,,f,,,,,,,noun,,,,,,,,"<qt><font color=""#b40000"">GIŠ</font>.<font color=""#b40000"">ma</font>-<font color=""#690000"">lu</font>.<font color=""#690000"">za</font>-<font color=""#9b0000"">el</font>-na</qt>"
man-da-qa,mandaqa,nE,mant-k,,,,,,,manta-,866,x,,,,-k-;ii,,,gefüllt,0.5,to fill,0.5,,f,,,,,,,verb,man-tak,,,,,,,"<qt><font color=""#690000"">man</font>-<font color=""#9b0000"">da</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>"
man-ha-at-na,manhaatna,nE,iron-GEN,,,,,,,manhat,867,x,,,,-t;3sg.inan,-na;postp.gen,,aus Eisen,0.5,iron,0.5,,f,,,,,,,noun,,,,,,,1,"<qt><font color=""#690000"">man</font>-<font color=""#690000"">ha</font>-<font color=""#690000"">at</font>-na</qt>"
man-nu-hi-iš,mannuhiis~,achE,,,,,,,,manuhi,870,,,,,-š;op.loan,,,Vorsteher,0,foreman,0,,f,,,,,,,noun,,,,,,,,"<qt><font color=""#690000"">man</font>-nu-<font color=""#c30000"">hi</font>-iš</qt>"
man-ir-kut-tin-na,manirkuttinna,achE,,,,,,,,,868,,,,,-na;postp.gen,,,insgesamt,1,in total,1,,f,,,,,,,adjective,"kut-tin-na, man-ir-tan-na, man-ni-ki-tin-na",,,,,,,"<qt><font color=""#690000"">man</font>-ir-<font color=""#c30000"">kut</font>-<font color=""#9b0000"">tin</font>-na</qt>"
man-ir-tan-na,manirtanna,achE,,,,,,,,,868,,,,,-na;postp.gen,,,insgesamt,1,in total,1,,f,,,,,,,adjective,man-ir-kut-tin-na,,,,,,,"<qt><font color=""#690000"">man</font>-ir-<font color=""#c30000"">tan</font>-na</qt>"
man-ni-ki-tin-na,mannikitinna,achE,,,,,,,,,869,,,,,-na;postp.gen,,,insgesamt,1,in total,1,,f,,,,,,,adjective,"kut-tin-na, man-ir-kut-tin-na",,,,,,,"<qt><font color=""#690000"">man</font>-<font color=""#c30000"">ni</font>-<font color=""#690000"">ki</font>-<font color=""#9b0000"">tin</font>-na</qt>"
ma-nu-ya,manuya,achE,vahyah,,,,,,,wanya,874,x,,,,,,,besser,1,better,1,,f,,,OP,,,,adjective,,vahyah,,,,,,"<qt><font color=""#b40000"">ma</font>-nu-<font color=""#9b0000"">ya</font></qt>"
mar-be-ip,marbeip,achE,all-PL-PL,Sg.,1st,,,,,marpe,878,x,,,,-p;3pl.an,,,alle,1,alle,1,,f,,,,,,,noun,mar-ri-be-ip,,,,,,1,"<qt><font color=""#9b0000"">mar</font>-<font color=""#de0000"">be</font>-<font color=""#690000"">ip</font></qt>"
2.ma-ri,mari,achE,varya,,,,,,,warya,880,x,,,,,,,"gut, fein",1,good,1,,f,,,OP,,,,adjective,ma-ri-ya,varya,,,,,,"<qt><font color=""#b40000"">ma</font>-<font color=""#9b0000"">ri</font></qt>"
2.ma-ri-iš,mariis~,achE,varya-š,,,,,,,warya,881,x,,,,-š;op.loan,,,"gut, fein",1,good,1,,f,,,OP,,,,adjective,ma-ri-ya,varya,,,,,,"<qt><font color=""#b40000"">ma</font>-<font color=""#9b0000"">ri</font>-iš</qt>"
ma-ri-ya,mariya,achE,varya,,,,,,,warya,882,x,,,,,,,"gut, fein",1,good,1,,f,,,OP,,,,adjective,"2.ma-ri, ma-ri-iš, ma-ri-ya-um",varya,,,,,,"<qt><font color=""#b40000"">ma</font>-<font color=""#9b0000"">ri</font>-<font color=""#9b0000"">ya</font></qt>"
ma-ri-ya-um,mariyaum,achE,varya-m,,,,,,,warya,882,x,,,,,,,"gut, fein",1,good,1,,f,,,OP,,,,adjective,ma-ri-ya,varya,,,,,,"<qt><font color=""#b40000"">ma</font>-<font color=""#9b0000"">ri</font>-<font color=""#9b0000"">ya</font>-<font color=""#690000"">um</font></qt>"
máš-na,mas~na,achE,,,,,,,,maš,894,x,,,,-na;postp.gen,,,voraufgehend,0.5,preceding,0.5,,f,,,,,,,noun,,,,,,,,"<qt><font color=""#690000"">máš</font>-na</qt>"
maš-šá,mas~s~a,achE,future,,,,,,,meša,895,,,,,,,,"später, nachmalig",1,"addition, later, subsequently",1,,f,,,,,,,"noun, adverb",me-šá,,,,,,1,"<qt><font color=""#de0000"">maš</font>-<font color=""#c30000"">šá</font></qt>"
máš-te-na,mas~tena,nE,mašte-na,,,,-na,,,mašte-,895,,,,,-n-;iii,,,zum Belassen,1,to leave,1,,f,,,,,,,verb,,,,,,,,"<qt><font color=""#690000"">máš</font>-te-na</qt>"
ma-ud-da,maudda,achE,,,,,,,,mata,902,x,,,,,,,trächtig,1,pregnant,1,,f,,,,,,,adjective,ma-at,,,,,,,"<qt><font color=""#b40000"">ma</font>-<font color=""#d50000"">ud</font>-<font color=""#9b0000"">da</font></qt>"
ma-ut-qa-na,mautqana,achE,,,,,,,,matka-,905,,,,,-n-;iii,,,einzulagern,0.5,to store,0.5,,f,,,,,,,verb,,,,,,,,"<qt><font color=""#b40000"">ma</font>-<font color=""#d50000"">ut</font>-<font color=""#9b0000"">ka<small>4</small></font>-na</qt>"
me-el-qa-an,meelqaan,mE,damage-ACT.PTCP,Sg.,3rd Anim.,,-an,,,,908,,,,,-n-;iii,,,beschädigend,,,,,TB,,,,,,,adjective,me-el-qa-an-ra,,,,,,,"<qt><font color=""#9b0000"">me</font>-<font color=""#9b0000"">el</font>-<font color=""#9b0000"">ka<small>4</small></font>-<font color=""#c30000"">an</font></qt>"
me-el-qa-an-ra,meelqaanra,mE,damage-ACT.PTCP-3SG.AGR,Sg.,3rd Anim.,,-n-,,,,908,,,,,-n-;iii,-r;3sg.an,,"einer, der beschädigt",,,,,TB,,,,,,,adjective,me-el-ka-an-ra,,,,,,,"<qt><font color=""#9b0000"">me</font>-<font color=""#9b0000"">el</font>-<font color=""#9b0000"">ka<small>4</small></font>-<font color=""#c30000"">an</font>-<font color=""#690000"">ra</font></qt>"
me-ir,meir,oE,rule??-SG,,,,,,,,910,,,,,,,,mächtig,,,,,TB,,,,,,,adjective,,,,,,,,"<qt><font color=""#9b0000"">me</font>-ir</qt>"
me-lu-uk,meluuk,mE,long,,,,,,,melu-k,912,,,,,-k-;ii,,,lang (zeitlich),,,,,TB,,,,,,,adjective,,,,,,,1,"<qt><font color=""#9b0000"">me</font>-<font color=""#690000"">lu</font>-<font color=""#9b0000"">uk</font></qt>"
me-qa-na,meqana,achE,,,,,,,,meqa-,915,,,,,-na;postp.gen,,,zum Pflanzen,,,,,TB,,,,,,,adjective,,,,,,,,"<qt><font color=""#9b0000"">me</font>-<font color=""#9b0000"">ka<small>4</small></font>-na</qt>"
me-ru-qa,meruqa,mE,meru,,,,,,,meru-,916,,,,,-k-;ii,,,geweiht,,,,,TB,,,,,,,adjective,,,,,,,,"<qt><font color=""#9b0000"">me</font>-<font color=""#b40000"">ru</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>"
me-šá-an-na,mes~aanna,achE,,,,,,,,meša-,916,,,,,-na;postp.gen,,,nachträglich hinzugefügt (Schaltmonat),,,,,TB,,,,,,,adjective,"me-šá-an, me-šá-na, me-šá-nu",,,,,,1,"<qt><font color=""#9b0000"">me</font>-<font color=""#c30000"">šá</font>-<font color=""#c30000"">an</font>-na</qt>"
hh.mi-ban-da,mibanda,,vibanda,,,,,,,,919,,HAL,,,,,,,,,,,TB,,,OP,,,,adjective,,vibanda,,,,,,"<qt><font color=""#9b0000"">hh</font>.mi-<font color=""#9b0000"">ban</font>-<font color=""#9b0000"">da</font></qt>"
mi-bu-uk-da,mibuukda,achE,vibuxtā,,,,,,,,919,,,,,,,,entbunden,,,,,TB,,,OP,,,,adjective,,vibuxtā,,,,,,"<qt>mi-<font color=""#9b0000"">bu</font>-<font color=""#9b0000"">uk</font>-<font color=""#9b0000"">da</font></qt>"
mi-du,midu,achE,mite,,,,,,,midu-,920,,,,,,,,"vorrückend, aufbrechend, hinmarschierend",,,,,TB,,,,,,,adjective,,,,,,,,"<qt>mi-<font color=""#9b0000"">du</font></qt>"
mi-ik-ki-ma,miikkima,mE,with.flowers?,,,,,,,,921,,,,,-ma;postp.loc,,,mit Blumen? / auf einem Schiff?,"0,3 ",,,,TB,,,,,,,adjective,,,,,,,1,"<qt>mi-<font color=""#c30000"">ik</font>-<font color=""#690000"">ki</font>-<font color=""#b40000"">ma</font></qt>"
mi-iš-[q]a-ir-taš,miis~qairtas~,achE,vahyaskrtam,,,,,,,wiškarta-š,,,,,,-š;op.loan,,,made better,1,,,,,,,OP,,,,adjective,,vahyaskrtam,,,,,,"<qt>mi-iš-<font color=""#9b0000"">ka<small>4</small></font>-ir-<font color=""#b40000"">taš</font></qt>"
mi-iš-ši-ya-da-ud-da,miis~s~iyadaudda,,,,,,,,,wišiyatata,,,,,,,,,"animal description (Hallock), born in the royal court (Mayrhofer)",0.2,,,,,,,,,,,adjective,,,,,,,,"<qt>mi-iš-<font color=""#c30000"">ši</font>-<font color=""#9b0000"">ya</font>-<font color=""#9b0000"">da</font>-<font color=""#d50000"">ud</font>-<font color=""#9b0000"">da</font></qt>"
h.mi-iz-ri-[ib-be]-na,miizriibbena,nE,muδra-PL-na,,,,,,,Mizri-r,,,AŠ,,,-p;3pl.an,-na;postp.gen,,of the Egyptians,1,Egyptian,1,,,,,,,,,noun,,,,,,,,"<qt><font color=""#c30000"">h</font>.mi-<font color=""#b40000"">iz</font>-<font color=""#9b0000"">ri</font>-<font color=""#690000"">ib</font>-<font color=""#de0000"">be</font>-na</qt>"
mi-si?-in-na,misiinna,nE,,,,,,,,miši,,,,,,-na;postp.gen,,,as credit balance,0.7,credit balance,0.7,,,,,,,,,noun,mi-ši-na,,,,,,,"<qt>mi-<font color=""#690000"">si</font>-in-na</qt>"
mi-še-na,mis~ena,achE,,,,,,,,miši,,,,,,-na;postp.gen,,,as balance,0.7,credit balance,0.7,,,,,,,,,noun,mi-ši-na,,,,,,,"<qt>mi-<font color=""#690000"">še</font>-na</qt>"
mi-ši-ir-ma-am-ma,mis~iirmaamma,achE,ruin-LOC,,,,,,,miši-,,,,,,-r;3sg.an,-ma-;aux,-ma;postp.loc,in its gradual decay,1,"to decay, be ruined",1,,,,,,,,,verb,mi-ši-ir-ma-ma,,,,,,1,"<qt>mi-<font color=""#c30000"">ši</font>-ir-<font color=""#b40000"">ma</font>-am-<font color=""#b40000"">ma</font></qt>"
mi-ši-ir-ma-ma,mis~iirmama,achE,ruin-LOC,,,,,,,miši-,,,,,,-r;3sg.an,-ma-;aux,-ma;postp.loc,in its gradual decay,1,"to decay, be ruined",1,,,,,,,,,verb,mi-ši-ir-ma-na,,,,,,1,"<qt>mi-<font color=""#c30000"">ši</font>-ir-<font color=""#b40000"">ma</font>-<font color=""#b40000"">ma</font></qt>"
mi-ši-ir-ma-na,mis~iirmana,mE,miširma-na,,,,-na,,,miši-,,,,,,-r;3sg.an,-ma-;aux,-na;postp.gen,gradually decaying,1,"to decay, be ruined",1,,,,,,,,,verb,mi-sir-ma-na,,,,,,1,"<qt>mi-<font color=""#c30000"">ši</font>-ir-<font color=""#b40000"">ma</font>-na</qt>"
mi-ši-na,mis~ina,nE; achE,,,,,,,,miši,,,,,,-na;postp.gen,,,as balance,0.7,credit balance,0.7,,,,,,,,,noun,"mi-si?-in-na, mi-še-na, muš-ši-na, muš-zi-na, mu-ši-in",,,,,,,"<qt>mi-<font color=""#c30000"">ši</font>-na</qt>"
mi-ul-qa-na,miulqana,nE,damage-ACT.PTCP+,,,,-na,,,melka-,,,,,,-n-;iii,,,have damaged,0.5,to damage,0.5,,,,,,,,,verb,,,,,,,,"<qt>mi-ul-<font color=""#9b0000"">ka<small>4</small></font>-na</qt>"
mu-h-du,muhdu,oE; mE,offer,,,,,,,muhtu,,,,,,,,,sacrificing (opfernd),0.5,"offering, sacrifice",0.5,,,,,,,,,noun,"mu-h-tú, mu-h-ti, mu-h-hu-du.ul-li-ra",,,,,,1,"<qt><font color=""#690000"">mu</font>-<font color=""#d50000"">h</font>-<font color=""#9b0000"">du</font></qt>"
mu-h-ti,muhti,mE,offering,,,,,,,muhtu,,,,,,,,,sacrificing (opfernd),0.5,"offering, sacrifice",0.5,,,,,,,,,noun,"mu-h-du, mu-h-tú",,,,,,1,"<qt><font color=""#690000"">mu</font>-<font color=""#d50000"">h</font>-<font color=""#690000"">ti</font></qt>"
mu-h-tú,muhtu,nE,offering,,,,,,,muhtu,,,,,,,,,sacrificing (opfernd),0.5,"offering, sacrifice",0.5,,,,,,,,,noun,mu-h-du,,,,,,1,"<qt><font color=""#690000"">mu</font>-<font color=""#d50000"">h</font>-<font color=""#d50000"">tú</font></qt>"
mur-da-na,murdana,nE,establish-of,,,,-na,,,murta-,,,,,,-n-;iii,,,having taken up residence-Wohnsitz genommen habend,0.5,"to place, establish",1,,,,,,,,,verb,,,,,,,1,"<qt><font color=""#cd0000"">mur</font>-<font color=""#9b0000"">da</font>-na</qt>"
mur-tu[k-q]a,murtukqa,achE,establish-PASS.PTCP+,,,,-ka,,,murta-,,,,,,-k-;ii,,,"resident, installed-ansässig, eingesetzt",1,"to place, establish, locate",1,,,,,,,,,verb,mur-tuk,,,,,,1,"<qt><font color=""#cd0000"">mur</font>-<font color=""#b40000"">tuk</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>"
mur-tuk,murtuk,achE,establish-PASS.PTCP,,,,-k,,,murta-,,,,,,,,,"resident, located, installed-wohnhaft, ansässig, auch eingesetzt",1,"to place, establish, locate",1,,,,,,,,,verb,mur-da-ak,,,,,,,"<qt><font color=""#cd0000"">mur</font>-<font color=""#b40000"">tuk</font></qt>"
mu-ši-a,mus~ia,mE,,,,,,,,muši-ya,,,,,,-ya;adj,,,made of glazed terracotta-aus lasierter Terracotta,0.7,,,,,,,,,,,adjective,"mu-ši-ya, mu-ši-it-ta",,,,,,,"<qt><font color=""#690000"">mu</font>-<font color=""#c30000"">ši</font>-<font color=""#690000"">a</font></qt>"
mu-ši-im-ma-qa,mus~iimmaqa,mE,account-DUR-PASS.PTCP,,,,,,,mušin-ma-k,,,,,,-ma-;aux,-k-;ii,,for accounting-zur Verbuchung,0.7,to account,0.7,,,,,,,,,verb,,,,,,,,"<qt><font color=""#690000"">mu</font>-<font color=""#c30000"">ši</font>-<font color=""#b40000"">im</font>-<font color=""#b40000"">ma</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>"
mu-ši-in-ma,mus~iinma,achE,account-LOC,,,,-ma,,,mušin,,,,,,-ma;postp.loc,,,"for the booking, accounting-für die Verbuchung, Buchhaltung",0.7,account,0.7,,,,,,,,,noun,,,,,,,,"<qt><font color=""#690000"">mu</font>-<font color=""#c30000"">ši</font>-in-<font color=""#b40000"">ma</font></qt>"
mu-ši-in-me,mus~iinme,achE,account-INANIM,,,,,,,mušin,,,,,,-me;3sg.inan,,,"billing, accounting-Abrechnung, Buchung",0.7,account,0.7,,,,,,,,,noun,,,,,,,,"<qt><font color=""#690000"">mu</font>-<font color=""#c30000"">ši</font>-in-<font color=""#9b0000"">me</font></qt>"
mu-ši-it-ta,mus~iitta,mE,,,,,,,,muši,,,,,,-t;3sg.inan,,,made of glazed terracotta-aus lasierter Terracotta,0.7,glazed terracotta,0.7,,,,,,,,,noun,"mu-ši-ya, mu-ši-a",,,,,,,"<qt><font color=""#690000"">mu</font>-<font color=""#c30000"">ši</font>-<font color=""#690000"">it</font>-ta</qt>"
mu-ši-ya,mus~iya,mE,,,,,,,,muši-ya,,,,,,-ya;adj,,,made of glazed terracotta-aus lasierter Terracotta,0.7,,,,,,,,,,,adjective,mu-ši-a,,,,,,,"<qt><font color=""#690000"">mu</font>-<font color=""#c30000"">ši</font>-<font color=""#9b0000"">ya</font></qt>"
muš-nu-ik,mus~nuik,achE,mischievious,,,,,,,mišnu-k,,,,,,-k-;ii,,,"bad, spoiled, useless-schlecht, verdorben, unbrauchbar",0.7,,,,,,,,,,,adjective,h.mi-iš-na-qa,,,,,,1,"<qt><font color=""#b40000"">muš</font>-nu-<font color=""#c30000"">ik</font></qt>"
muš-ši-na,mus~s~ina,achE,,,,,,,,miši,,,,,,-na;postp.gen,,,as balance-als Saldo,0.7,credit balance,0.7,,,,,,,,,noun,mi-ši-na,,,,,,,"<qt><font color=""#b40000"">muš</font>-<font color=""#c30000"">ši</font>-na</qt>"
muš-zí-na,mus~zina,achE,,,,,,,,miši,,,,,,-na;postp.gen,,,as balance-als Saldo,0.7,credit balance,0.7,,,,,,,,,noun,mi-ši-na,,,,,,,"<qt><font color=""#b40000"">muš</font>-<font color=""#690000"">zí</font>-na</qt>"
hh.mu-uk-tu4-ir-ra,muuktuirra,nE,master-3SG.AGR,,,,,,,muktu,,,HAL,,,-r;3sg.an,,,"der des Gebieters, der dem Gebieter, Fürsten unterstellte",0.5,"master, ruler",0.5,,,,,,,,,noun,mu-uk-tu4,,,,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#690000"">mu</font>-<font color=""#9b0000"">uk</font>-<font color=""#b40000"">tu<sub><small>4</small></sub></font>-ir-<font color=""#690000"">ra</font></qt>"
na-ak-kán-na,naakkanna,achE,,,,,,,,naka,,,,,,-na;postp.gen,,,als Ersatz-as replacement,0.5,"replacement, substitute",0.5,,,,,,,,,noun,"na-ak-qa-na, na-qa",,,,,,,"<qt>na-<font color=""#690000"">ak</font>-<font color=""#690000"">kán</font>-na</qt>"
na-ak-qa-na,naakqana,achE,,,,,,,,naka,,,,,,-na;postp.gen,,,als Ersatz-as replacement,0.5,"replacement, substitute",0.5,,,,,,,,,noun,"na-ak-kán-na, na-qa",,,,,,,"<qt>na-<font color=""#690000"">ak</font>-<font color=""#9b0000"">ka<small>4</small></font>-na</qt>"
d.na-an-sir-na,naansirna,achE,,,,,,,,nan.sir,,,DINGIR,,,-na;postp.gen,,,as daily ration-als Tagesration,0.5,daily ration,0.5,,,,,,,,,noun,"na-sir-na, 2.na-an",,,,,,,"<qt><font color=""#c30000"">d</font>.na-<font color=""#c30000"">an</font>-<font color=""#690000"">sir</font>-na</qt>"
na?-an?-pi-da?,naanpida,achE,,,,,,,,,970,,,,,-ta; adv,,,täglich,,,,,TB,,,,,,,adjective,2.na-an,,,,,,,"<qt>na-<font color=""#c30000"">an</font>-<font color=""#de0000"">pi</font>-<font color=""#9b0000"">da</font></qt>"
